kepid,kepoi_name,kepler_name,koi_disposition,koi_prad,koi_period,koi_teq,koi_srad,koi_steff,koi_tce_plnt_num
6041734,"K02167.02",,"CANDIDATE",1.39,6.95787,1047.0,1.0250,6240.00,
11308499,"K02168.01","Kepler-366 b","CONFIRMED",1.6,3.28192056,1326.0,1.1620,5859.00,1
11308499,"K02168.02","Kepler-366 c","CONFIRMED",1.87,12.51610549,848.0,1.1620,5859.00,2
9006186,"K02169.01","Kepler-1130 b","CONFIRMED",0.92,5.45298742,904.0,0.8420,5450.00,1
9006186,"K02169.02","Kepler-1130 c","CONFIRMED",0.68,3.26662733,1072.0,0.8420,5450.00,2
7802719,"K02247.01","Kepler-1157 b","CONFIRMED",0.79,4.45743267,732.0,0.6120,4487.00,1
11030475,"K02248.01","Kepler-1813 b","CONFIRMED",1.3,2.81814715,1059.0,0.7870,5167.00,1
11030475,"K02248.02",,"CANDIDATE",1.05,9.4907638,704.0,0.7460,5290.00,
11030475,"K02248.03",,"CANDIDATE",1.08,0.76196247,1638.0,0.7870,5167.00,2
5023956,"K00233.01",,"FALSE POSITIVE",5.31,1.824649,1508.0,0.7930,6190.00,1
12401863,"K02331.01","Kepler-1193 b","CONFIRMED",1.37,2.832647249,1453.0,1.2720,5865.00,1
5534941,"K02332.01","Kepler-1827 b","CONFIRMED",1.24,3.70063251,1329.0,1.4040,5423.00,1
11121752,"K02333.01","Kepler-380 b","CONFIRMED",1.2,3.93083997,1317.0,1.1910,6038.00,1
11121752,"K02333.02","Kepler-380 c","CONFIRMED",1.39,7.63008196,1056.0,1.1910,6038.00,2
2990873,"K02335.01","Kepler-1194 b","CONFIRMED",1.51,16.22378479,676.0,0.9250,5547.00,1
9307509,"K02096.01","Kepler-1794 b","CONFIRMED",1.94,9.76293284,703.0,0.8160,5052.00,1
10158729,"K02097.01","Kepler-1092 b","CONFIRMED",2.06,58.601926,508.0,1.0190,6250.00,1
6105462,"K02098.01","Kepler-1093 b","CONFIRMED",2.26,25.0823402,776.0,1.2620,6429.00,1
3120355,"K02099.01","Kepler-1094 b","CONFIRMED",3.37,78.0998908,480.0,1.2840,5779.00,1
6047072,"K02100.01","Kepler-1095 b","CONFIRMED",1.22,4.27103727,1108.0,0.9060,5984.00,1
9006186,"K02169.03","Kepler-1130 d","CONFIRMED",0.64,4.27226421,981.0,0.8420,5450.00,3
9006186,"K02169.04",,"CANDIDATE",0.37,2.19251903,1225.0,0.8420,5450.00,4
11410904,"K02171.01","Kepler-1131 b","CONFIRMED",1.43,3.53232429,1159.0,0.9560,5761.00,1
5021737,"K00026.01",,"FALSE POSITIVE",12.36,15.03946326,962.0,1.4410,6501.00,1
3862246,"K00230.01",,"FALSE POSITIVE",37.24,4.702495974,981.0,0.8780,5408.00,1
4173026,"K02172.01","Kepler-1801 b","CONFIRMED",3.41,10.44087398,829.0,0.9810,5738.00,1
10471621,"K02554.01",,"CANDIDATE",13.72,39.7557642,325.0,0.5110,4405.00,2
